"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","68.9","0.0","69.8","0.0","1.0","0.0","69.9","0.0","1.0","0.0","69.9","0.0","1.1","0.0","70.7","0.0","1.8","0.0","71.9","0.0","3.0","0.0","72.1","0.0","3.2","0.0","72.2","0.0","3.4","0.0","72.6","0.0","3.8","0.0","73.8","0.0","4.9","0.0"
"PORION","-18.3","-16.0","-20.2","-16.6","-1.9","-0.6","-20.9","-14.7","-2.6","1.4","-19.8","-16.5","-1.6","-0.5","-20.0","-16.9","-1.7","-0.9","-18.5","-20.8","-0.3","-4.8","-19.0","-20.4","-0.7","-4.4","-18.0","-18.5","0.2","-2.5","-19.7","-19.9","-1.4","-3.8","-19.6","-20.1","-1.3","-4.1"
"ORBITALE","51.2","-24.1","51.0","-27.4","-0.1","-3.3","52.9","-25.2","1.7","-1.1","51.7","-26.1","0.6","-2.0","53.0","-28.8","1.9","-4.7","54.1","-28.5","2.9","-4.4","56.9","-28.5","5.8","-4.4","55.7","-26.6","4.6","-2.5","56.1","-28.8","5.0","-4.7","55.4","-29.2","4.2","-5.1"
"U I APEX","55.5","-45.1","55.1","-48.3","-0.4","-3.2","58.4","-54.1","2.8","-9.0","58.4","-56.5","2.9","-11.4","57.2","-57.9","1.6","-12.8","58.5","-60.6","2.9","-15.5","59.1","-62.2","3.5","-17.1","60.0","-62.0","4.5","-17.0","59.7","-67.0","4.1","-21.9","61.0","-65.5","5.4","-20.4"
"POINT A","62.3","-49.1","62.0","-53.6","-0.3","-4.5","63.0","-53.2","0.7","-4.1","63.0","-55.3","0.6","-6.2","62.3","-59.8","-0.1","-10.7","64.0","-62.8","1.7","-13.7","62.9","-60.1","0.6","-11.0","63.9","-60.0","1.5","-10.9","62.6","-62.2","0.3","-13.1","63.4","-62.0","1.1","-12.9"
"U I EDGE","n/a","n/a","62.6","-70.7","n/a","n/a","64.9","-72.9","n/a","n/a","66.4","-78.4","n/a","n/a","62.5","-84.6","n/a","n/a","63.5","-86.3","n/a","n/a","N/A","N/A","n/a","n/a","66.3","-87.3","n/a","n/a","61.3","-91.2","n/a","n/a","62.6","-93.1","n/a","n/a"
"L I EDGE","n/a","n/a","N/A","N/A","n/a","n/a","56.9","-75.3","n/a","n/a","59.0","-78.0","n/a","n/a","56.7","-81.8","n/a","n/a","58.7","-84.5","n/a","n/a","58.9","-83.4","n/a","n/a","61.4","-84.2","n/a","n/a","60.8","-90.7","n/a","n/a","59.6","-91.0","n/a","n/a"
"POINT B","45.9","-92.8","44.9","-96.1","-1.0","-3.3","45.9","-96.2","-0.1","-3.4","45.7","-99.1","-0.2","-6.3","43.2","-103.8","-2.7","-11.0","44.5","-107.4","-1.4","-14.6","44.9","-108.2","-1.0","-15.4","47.2","-105.3","1.3","-12.5","42.5","-111.2","-3.5","-18.4","43.9","-111.2","-2.0","-18.3"
"L I APEX","n/a","n/a","40.6","-92.3","n/a","n/a","43.2","-93.0","n/a","n/a","40.1","-96.8","n/a","n/a","39.8","-98.7","n/a","n/a","41.1","-101.5","n/a","n/a","43.0","-101.3","n/a","n/a","43.6","-101.0","n/a","n/a","40.3","-104.9","n/a","n/a","41.2","-109.1","n/a","n/a"
