"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","69.9","0.0","70.1","0.0","0.2","0.0","71.1","0.0","1.2","0.0","72.7","0.0","2.8","0.0","73.9","0.0","4.0","0.0","74.3","0.0","4.3","0.0"
"PORION","-19.2","-10.8","-18.8","-13.2","0.4","-2.4","-18.8","-9.7","0.4","1.2","-21.7","-17.8","-2.5","-7.0","-20.9","-12.6","-1.7","-1.8","-19.6","-13.0","-0.4","-2.2"
"ORBITALE","53.4","-27.0","53.5","-26.7","0.1","0.3","53.7","-27.7","0.3","-0.7","56.6","-28.1","3.2","-1.1","57.9","-27.6","4.5","-0.6","58.0","-27.7","4.6","-0.6"
"U I APEX","55.1","-54.7","55.1","-52.2","-0.0","2.5","56.4","-53.8","1.2","0.9","58.5","-56.4","3.3","-1.7","60.7","-57.7","5.6","-3.1","61.0","-58.2","5.8","-3.5"
"POINT A","58.4","-52.1","60.1","-51.5","1.8","0.6","60.2","-53.7","1.8","-1.6","62.4","-56.7","4.0","-4.6","64.8","-58.4","6.4","-6.3","65.4","-57.6","7.1","-5.5"
"U I EDGE","58.1","-73.9","60.7","-75.1","2.6","-1.1","62.3","-77.5","4.2","-3.6","65.1","-79.6","7.0","-5.6","68.0","-81.7","9.9","-7.8","68.8","-81.8","10.7","-7.8"
"L I EDGE","55.3","-69.7","57.4","-70.0","2.1","-0.3","59.1","-71.7","3.8","-2.0","62.0","-75.9","6.6","-6.2","65.3","-77.8","10.0","-8.1","66.5","-78.0","11.2","-8.3"
"POINT B","47.3","-87.6","49.1","-87.4","1.8","0.2","50.1","-89.4","2.8","-1.8","52.5","-94.8","5.2","-7.2","57.0","-98.1","9.7","-10.5","59.3","-95.8","12.0","-8.3"
"L I APEX","39.0","-91.2","43.6","-85.9","4.6","5.3","42.0","-91.3","3.1","-0.0","45.8","-94.6","6.8","-3.4","50.4","-97.9","11.4","-6.7","51.1","-99.8","12.2","-8.6"
"POGONION","44.5","-97.0","46.6","-96.5","2.1","0.5","48.1","-99.4","3.6","-2.4","51.1","-103.2","6.6","-6.1","56.3","-108.7","11.8","-11.7","57.6","-109.8","13.1","-12.7"
"MENTON","35.5","-102.3","37.0","-102.7","1.4","-0.4","38.2","-104.8","2.7","-2.5","42.0","-110.1","6.4","-7.8","46.8","-114.5","11.3","-12.2","48.7","-115.7","13.1","-13.4"
"U 6 APEX","32.5","-40.2","34.1","-42.0","1.6","-1.8","35.2","-43.5","2.7","-3.3","35.3","-45.1","2.7","-4.9","37.3","-49.3","4.8","-9.1","37.6","-49.1","5.1","-8.9"
"U 6 CUSP","25.4","-58.1","27.0","-59.2","1.6","-1.0","29.5","-62.7","4.1","-4.6","29.7","-65.2","4.3","-7.0","34.4","-69.5","9.0","-11.4","35.3","-69.8","9.9","-11.7"
"L 6 CUSP","27.5","-60.6","28.7","-61.5","1.2","-1.0","30.6","-64.2","3.1","-3.7","32.5","-67.9","4.9","-7.4","35.4","-71.0","7.9","-10.4","36.3","-70.9","8.8","-10.3"
"L 6 APEX","14.2","-76.4","17.7","-79.1","3.5","-2.6","17.6","-83.3","3.4","-6.9","22.0","-87.1","7.8","-10.7","24.4","-92.1","10.3","-15.6","26.5","-93.0","12.3","-16.6"
"GONION L","-4.4","-71.9","-4.4","-73.9","-0.0","-2.0","-4.2","-76.3","0.2","-4.4","-3.7","-82.5","0.6","-10.6","-3.1","-87.3","1.3","-15.4","-2.3","-89.1","2.1","-17.2"
"GONION U","-7.3","-70.7","-5.2","-71.7","2.1","-1.0","-6.7","-73.7","0.6","-3.0","-5.8","-79.7","1.5","-9.1","-5.3","-85.7","2.0","-15.0","-5.4","-86.5","1.9","-15.8"
"CONDYLE","-14.7","-12.3","-13.8","-13.8","0.9","-1.5","-14.4","-12.7","0.3","-0.4","-16.4","-16.6","-1.7","-4.3","-15.6","-14.8","-0.9","-2.5","-17.1","-15.5","-2.4","-3.2"
"PNS","15.5","-39.7","16.4","-40.4","1.0","-0.7","16.5","-41.5","1.0","-1.7","17.3","-43.6","1.8","-3.9","17.2","-44.5","1.8","-4.7","16.4","-44.2","1.0","-4.5"
"BASION","-27.3","-27.8","-28.9","-33.0","-1.6","-5.2","-29.7","-32.2","-2.4","-4.4","-30.1","-32.5","-2.8","-4.7","-31.1","-33.9","-3.8","-6.1","-30.8","-34.5","-3.5","-6.7"
"MID GONION","-5.8","-71.3","-4.8","-72.8","1.0","-1.5","-5.4","-75.0","0.4","-3.7","-4.8","-81.1","1.0","-9.8","-4.2","-86.5","1.6","-15.2","-3.8","-87.8","2.0","-16.5"
"ANS","62.8","-48.4","63.4","-48.4","0.6","-0.0","64.3","-50.6","1.5","-2.3","65.6","-51.9","2.9","-3.5","69.4","-54.4","6.7","-6.0","69.0","-54.3","6.2","-5.9"
"ARTICULAR","-13.3","-24.0","-13.7","-24.9","-0.5","-0.9","-14.6","-25.2","-1.4","-1.2","-15.8","-26.9","-2.6","-2.8","-16.4","-28.0","-3.2","-4.0","-16.8","-29.3","-3.6","-5.3"
